DNN Best Score: 0.825319 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.828062 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.827979 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.827013 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.827496 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.828804 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 1}
DNN Best Score: 0.829838 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 1}
DNN Best Score: 0.826546 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 1}
DNN Best Score: 0.827412 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 1}
DNN Best Score: 0.827116 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 1}
DNN Best Score: 0.827963 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 1}
DNN Best Score: 0.825302 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 2}
DNN Best Score: 0.822759 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 2}
DNN Best Score: 0.829510 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 2}
DNN Best Score: 0.822031 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 1}
DNN Best Score: 0.823997 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 2}
DNN Best Score: 0.821774 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 2}
DNN Best Score: 0.831132 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 2}
DNN Best Score: 0.823889 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 2}
DNN Best Score: 0.831645 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 2}
DNN Best Score: 0.824652 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 2}
DNN Best Score: 0.814660 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 4}
DNN Best Score: 0.819090 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 4}
DNN Best Score: 0.815716 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 32, 'model__layer_num': 4}
DNN Best Score: 0.815057 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 4}
DNN Best Score: 0.823912 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 4}
DNN Best Score: 0.826692 using {'batch_size': 128, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 4}
DNN Best Score: 0.825848 using {'batch_size': 64, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 4}
DNN Best Score: 0.814227 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 64, 'model__layer_num': 4}
DNN Best Score: 0.825674 using {'batch_size': 32, 'epochs': 50, 'model__hidden_units': 128, 'model__layer_num': 4}
